subject,target_distance,condition,perc_dist,sd_perc_dist,sem_perc_dist,logperc_dist,logperc_dist_sem
S004,2,Real speakers,3.125,0.25,0.125,0.494850021680094,-0.9030899869919435
S004,2,Non-individualized HRTF,3.375,0.25,0.125,0.5282737771670437,-0.9030899869919435
S004,3,Incongruous room,3.125,0.6291528696058958,0.3145764348029479,0.494850021680094,-0.5022738138753603
S004,3,Closed headphones,3,0.408248290463863,0.2041241452319315,0.47712125471966244,-0.690105620855803
S004,3,Individualized HRTF,3.5625,0.125,0.0625,0.5517548730165667,-1.2041199826559248
S004,3,Real speakers,3.4375,0.3145764348029479,0.15728821740147395,0.5362427068383191,-0.8033038095393416
S004,3,Non-individualized HRTF,3.6875,0.23935677693908453,0.11967838846954226,0.5667320289862194,-0.9219842674366435
S004,4,Incongruous room,2.875,0.47871355387816905,0.23935677693908453,0.4586378490256493,-0.6209542717726623
S004,4,Closed headphones,3.25,0.6454972243679028,0.3227486121839514,0.5118833609788743,-0.4911356165197842
S004,4,Individualized HRTF,3.5625,0.375,0.1875,0.5517548730165667,-0.7269987279362623
S004,4,Real speakers,3.4375,0.3145764348029479,0.15728821740147395,0.5362427068383191,-0.8033038095393416
S004,4,Non-individualized HRTF,4.125,0.47871355387816905,0.23935677693908453,0.6154239528859439,-0.6209542717726623
S004,5,Incongruous room,3.625,0.47871355387816905,0.23935677693908453,0.5593080109070125,-0.6209542717726623
S004,5,Closed headphones,3.375,0.47871355387816905,0.23935677693908453,0.5282737771670437,-0.6209542717726623
S004,5,Individualized HRTF,3.625,0.25,0.125,0.5593080109070125,-0.9030899869919435
S004,5,Real speakers,3.875,0.25,0.125,0.5882717068423291,-0.9030899869919435
S004,5,Non-individualized HRTF,4.125,0.25,0.125,0.6154239528859439,-0.9030899869919435
S004,6,Incongruous room,4.125,0.6291528696058958,0.3145764348029479,0.6154239528859439,-0.5022738138753603
S004,6,Closed headphones,3.625,0.47871355387816905,0.23935677693908453,0.5593080109070125,-0.6209542717726623
S004,6,Individualized HRTF,3.8125,0.23935677693908453,0.11967838846954226,0.5812098523548422,-0.9219842674366435
S004,6,Real speakers,3.875,0.14433756729740643,0.07216878364870322,0.5882717068423291,-1.1416506143517748
S004,6,Non-individualized HRTF,4.05,0.10000000000000009,0.050000000000000044,0.6074550232146685,-1.3010299956639808
S005,1,Incongruous room,1.25,0.9574271077563381,0.47871355387816905,0.09691001300805642,-0.31992427610868107
S005,1,Closed headphones,1.375,0.75,0.375,0.13830269816628146,-0.42596873227228116
S005,1,Individualized HRTF,0.75,0.28867513459481287,0.14433756729740643,-0.12493873660829995,-0.8406206186877936
S005,1,Real speakers,0.575,0.2872281323269014,0.1436140661634507,-0.24033215531036956,-0.8428030213890186
S005,1,Non-individualized HRTF,0.625,0.25,0.125,-0.2041199826559248,-0.9030899869919435
S005,2,Incongruous room,1.45,0.6658328118479393,0.33291640592396965,0.16136800223497488,-0.4776648025402695
S005,2,Closed headphones,2.45,0.3316624790355399,0.16583123951776996,0.3891660843645325,-0.7803336530848688
S005,2,Individualized HRTF,1.625,0.47871355387816905,0.23935677693908453,0.21085336531489318,-0.6209542717726623
S005,2,Real speakers,1.375,0.25,0.125,0.13830269816628146,-0.9030899869919435
S005,2,Non-individualized HRTF,1.25,0.28867513459481287,0.14433756729740643,0.09691001300805642,-0.8406206186877936
S005,3,Incongruous room,1.525,1.6740669042783205,0.83703345213916025,0.1832698436828046,-0.07725718503047585
