subject,condition,signed_bias_ind,sd_signed_bias_ind,sem_signed_bias_ind,unsigned_bias_ind,sd_unsigned_bias_ind,sem_unsigned_bias_ind
S016,Individualized HRTF,-0.2111111111111111,0.39856829122463594,0.08135741176278037,0.2111111111111111,0.39856829122463594,0.08135741176278037
S016,Real speakers,-0.09444444444444444,0.19693709402144205,0.04019961598158739,0.09444444444444444,0.19693709402144205,0.04019961598158739
S016,Non-individualized HRTF,-0.10138888888888889,0.29299043968288735,0.05980642306139717,0.10138888888888889,0.29299043968288735,0.05980642306139717
S017,Incongruous room,1.1659722222222222,0.5878701252989487,0.11999848683403638,1.1659722222222222,0.5878701252989487,0.11999848683403638
S017,Closed headphones,1.4652777777777777,1.0142572621780124,0.20703439668736584,1.4652777777777777,1.0142572621780124,0.20703439668736584
S017,Individualized HRTF,0.2701388888888889,0.3777549101490369,0.07710889814133726,0.2701388888888889,0.3777549101490369,0.07710889814133726
S017,Real speakers,0.253125,0.2861519276968752,0.05841051764759412,0.253125,0.2861519276968752,0.05841051764759412
S017,Non-individualized HRTF,0.3020833333333333,0.38884079240191455,0.07937179438034775,0.3020833333333333,0.38884079240191455,0.07937179438034775
S018,Incongruous room,-0.8934027777777778,0.07817279134045381,0.015956954212764274,0.8934027777777778,0.07817279134045381,0.015956954212764274
S018,Closed headphones,-0.8322916666666667,0.13379251773523201,0.027310283321132275,0.8322916666666667,0.13379251773523201,0.027310283321132275
S018,Individualized HRTF,0.6430555555555556,0.48159148068389956,0.09830444934558126,0.6430555555555556,0.48159148068389956,0.09830444934558126
S018,Real speakers,0.7708333333333334,0.6475567234960405,0.1321819626728195,0.7708333333333334,0.6475567234960405,0.1321819626728195
S018,Non-individualized HRTF,0.74375,0.6990644628275748,0.14269593593669808,0.74375,0.6990644628275748,0.14269593593669808
S019,Incongruous room,-0.7711805555555555,0.06511923134885254,0.013292407437244925,0.7711805555555555,0.06511923134885254,0.013292407437244925
S019,Closed headphones,-0.5954861111111112,0.13854683120300124,0.028280753493905325,0.5954861111111112,0.13854683120300124,0.028280753493905325
S019,Individualized HRTF,0.2809027777777778,0.7159057266571818,0.14613364452054203,0.2809027777777778,0.7159057266571818,0.14613364452054203
S019,Real speakers,0.365625,0.8422361844868321,0.171920741241778,0.365625,0.8422361844868321,0.171920741241778
S019,Non-individualized HRTF,0.3482638888888889,0.721394831014314,0.14725410325553054,0.3482638888888889,0.721394831014314,0.14725410325553054
S021,Incongruous room,0.16319444444444445,0.49538276731368924,0.10111958394053565,0.16319444444444445,0.49538276731368924,0.10111958394053565
S021,Closed headphones,0.08645833333333333,0.45650698374475,0.09318409784930436,0.08645833333333333,0.45650698374475,0.09318409784930436
S021,Individualized HRTF,-0.515625,0.10204173213258562,0.02082918134954976,0.515625,0.10204173213258562,0.02082918134954976
S021,Real speakers,-0.4232638888888889,0.13086434984204567,0.026712573552840027,0.4232638888888889,0.13086434984204567,0.026712573552840027
S021,Non-individualized HRTF,-0.5392361111111111,0.07710332356017971,0.01573865001626273,0.5392361111111111,0.07710332356017971,0.01573865001626273
S022,Incongruous room,-0.40173611111111107,0.2670963382470676,0.05452081173926153,0.40173611111111107,0.2670963382470676,0.05452081173926153
S022,Closed headphones,-0.17222222222222222,0.5842263695569281,0.11925470830776248,0.17222222222222222,0.5842263695569281,0.11925470830776248
S022,Individualized HRTF,0.5805555555555556,0.5119269900642079,0.10449665926801195,0.5805555555555556,0.5119269900642079,0.10449665926801195
S022,Real speakers,0.7069444444444445,0.47009395367501117,0.09595752647261087,0.7069444444444445,0.47009395367501117,0.09595752647261087
S022,Non-individualized HRTF,0.6402777777777777,0.8082443050728967,0.16498217791158154,0.6402777777777777,0.8082443050728967,0.16498217791158154
S023,Incongruous room,-0.04861111111111111,0.2579141838829092,0.052646512328290054,0.04861111111111111,0.2579141838829092,0.052646512328290054
S023,Closed headphones,0.3520833333333333,0.5423226240001568,0.1107011420639702,0.3520833333333333,0.5423226240001568,0.1107011420639702
S023,Individualized HRTF,-0.34430555555555553,0.20959237910387365,0.04278286523170516,0.34430555555555553,0.20959237910387365,0.04278286523170516
S023,Real speakers,-0.36486111111111114,0.27441589996093296,0.05601491101757667,0.36486111111111114,0.27441589996093296,0.05601491101757667
S023,Non-individualized HRTF,-0.4128472222222222,0.19541265588212292,0.03988844134943992,0.4128472222222222,0.19541265588212292,0.03988844134943992
S024,Incongruous room,-0.8495833333333334,0.055803853346423835,0.011390913864986828,0.8495833333333334,0.055803853346423835,0.011390913864986828
S024,Closed headphones,-0.8477083333333334,0.0625732662352142,0.01277271448463318,0.8477083333333334,0.0625732662352142,0.01277271448463318
S024,Individualized HRTF,-0.05277777777777778,0.13863261380463818,0.02829826379414024,0.05277777777777778,0.13863261380463818,0.02829826379414024
S024,Real speakers,-0.015972222222222224,0.1798737591844797,0.03671657734318621,0.015972222222222224,0.1798737591844797,0.03671657734318621
S024,Non-individualized HRTF,0.03611111111111111,0.2360436106980419,0.04818220027119661,0.03611111111111111,0.2360436106980419,0.04818220027119661
S025,Incongruous room,-0.4206944444444444,0.3123480951249428,0.063757787932201,0.4206944444444444,0.3123480951249428,0.063757787932201
S025,Closed headphones,-0.10319444444444445,0.5699720131841601,0.1163450499973399,0.10319444444444445,0.5699720131841601,0.1163450499973399
